n,t
612000,0.714269
613000,0.715423
614000,0.716549
615000,0.717670
616000,0.719099
617000,0.720275
618000,0.721416
619000,0.722558
620000,0.723708
621000,0.724887
622000,0.726055
623000,0.727461
624000,0.728628
625000,0.729819
626000,0.730988
627000,0.732206
628000,0.733420
629000,0.734670
630000,0.736231
631000,0.737488
632000,0.738760
633000,0.740032
634000,0.741375
635000,0.742670
636000,0.744296
637000,0.745573
638000,0.746875
639000,0.748170
640000,0.749456
641000,0.750734
642000,0.752005
643000,0.753555
644000,0.754809
645000,0.756056
646000,0.757292
647000,0.758593
648000,0.759859
649000,0.761084
650000,0.762609
651000,0.763835
652000,0.765076
653000,0.766312
654000,0.767574
655000,0.768801
656000,0.770031
657000,0.771504
658000,0.772734
659000,0.773953
660000,0.775152
661000,0.776385
662000,0.777598
663000,0.778794
664000,0.780271
665000,0.781506
666000,0.782741
667000,0.783930
668000,0.785150
669000,0.786368
670000,0.787622
671000,0.789165
672000,0.790536
673000,0.791785
674000,0.793061
675000,0.794348
676000,0.795635
677000,0.796924
678000,0.798515
679000,0.799830
680000,0.801131
681000,0.802427
682000,0.803712
683000,0.804957
684000,0.806238
685000,0.807748
686000,0.809009
687000,0.810265
688000,0.811493
689000,0.812718
690000,0.813955
691000,0.815218
692000,0.816753
693000,0.818037
694000,0.819259
695000,0.820524
696000,0.821732
697000,0.822950
698000,0.824175
699000,0.825654
700000,0.826869
701000,0.828107
702000,0.829329
703000,0.830586
704000,0.831783
705000,0.833038
706000,0.834538
707000,0.835746
708000,0.836936
709000,0.838180
710000,0.839364
711000,0.840567
712000,0.841749
713000,0.843245
714000,0.844420
715000,0.845617
716000,0.846811
717000,0.848073
718000,0.849264
719000,0.850517
720000,0.851955
721000,0.853189
722000,0.854357
723000,0.855536
724000,0.856726
725000,0.857934
726000,0.859146
727000,0.860373
728000,0.861848
729000,0.863083
730000,0.864274
731000,0.865471
732000,0.866683
733000,0.867859
734000,0.869075
735000,0.870541
736000,0.871782
737000,0.872972
738000,0.874178
739000,0.875376
740000,0.876582
741000,0.877767
