n,t
387000,5.7013e-07
388000,5.6555e-07
389000,5.99039e-07
390000,5.9957e-07
391000,5.7936e-07
392000,5.69539e-07
393000,5.61941e-07
394000,5.61259e-07
395000,5.7826e-07
396000,6.08249e-07
397000,5.70021e-07
398000,5.6834e-07
399000,5.51341e-07
400000,5.45359e-07
401000,5.45311e-07
402000,5.43811e-07
403000,5.4795e-07
404000,6.40008e-07
405000,6.20089e-07
406000,6.2825e-07
407000,6.59149e-07
408000,6.11808e-07
409000,5.69282e-07
410000,5.516e-07
411000,5.4584e-07
412000,5.6129e-07
413000,6.02381e-07
414000,6.16779e-07
415000,5.7456e-07
416000,5.5501e-07
417000,5.5696e-07
418000,5.9705e-07
419000,6.20511e-07
420000,6.18651e-07
421000,6.13639e-07
422000,5.84002e-07
423000,5.6468e-07
424000,6.2371e-07
425000,5.95732e-07
426000,5.74939e-07
427000,5.7044e-07
428000,5.6258e-07
429000,6.163e-07
430000,6.44021e-07
431000,6.25598e-07
432000,6.2427e-07
433000,5.8315e-07
434000,6.03192e-07
435000,5.7462e-07
436000,5.71749e-07
437000,5.9118e-07
438000,5.813e-07
439000,5.88291e-07
440000,5.82359e-07
441000,6.17089e-07
442000,5.80969e-07
443000,6.77922e-07
444000,6.51388e-07
445000,6.198e-07
446000,5.99201e-07
447000,6.2988e-07
448000,6.6659e-07
449000,6.5007e-07
450000,6.01521e-07
451000,5.64461e-07
452000,5.58631e-07
453000,6.05829e-07
454000,6.12419e-07
455000,5.99871e-07
456000,5.7277e-07
457000,5.83229e-07
458000,5.62499e-07
459000,5.40631e-07
460000,5.3493e-07
461000,5.42898e-07
462000,5.44159e-07
463000,5.54199e-07
464000,6.11639e-07
465000,6.0133e-07
466000,6.1228e-07
467000,6.02379e-07
468000,5.95441e-07
469000,5.88789e-07
470000,6.1914e-07
471000,6.0956e-07
472000,6.23221e-07
473000,5.83229e-07
474000,5.93269e-07
475000,5.7188e-07
476000,5.45261e-07
477000,5.76501e-07
478000,6.0663e-07
479000,6.06329e-07
480000,6.10349e-07
481000,6.4918e-07
482000,6.46539e-07
483000,6.23698e-07
484000,5.72679e-07
485000,5.6993e-07
486000,5.6561e-07
487000,5.6854e-07
488000,5.63831e-07
489000,5.60381e-07
490000,5.52719e-07
491000,5.8183e-07
492000,5.9751e-07
493000,5.62689e-07
494000,5.5048e-07
495000,5.47991e-07
496000,5.46761e-07
497000,5.47142e-07
498000,5.563e-07
499000,5.49569e-07
500000,5.58729e-07
501000,5.5181e-07
502000,5.6895e-07
503000,5.56989e-07
504000,5.5397e-07
505000,5.55441e-07
